Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
359,Johannes Haerteis,25.7,1354.5,,1349.5,1293.9,1362,,1352,1324.2,1358.2,,2020 Sibiu CH R16,24.6,1546.4
360,Joao Domingues,28.6,1352.6,,1206.7,1331.4,1240.3,,1279.6,1342,1296.5,,2019 Braga CH F,25.6,1647
361,Alexandar Lazarov,24.4,1352.1,,1361.9,1183.9,-,,1357,1268,1376.1,,2021 Antalya 4 CH R16,24.1,1421.5
362,Fabian Marozsan,22.5,1351.1,,1328.1,1220.7,-,,1339.6,1285.9,1375.5,,2021 Bergamo CH QF,22.1,1505.6
363,Daniel Dutra Da Silva,33.8,1348.2,,1124.6,1332,-,,1236.4,1340.1,1374.1,,2008 Seville CH R32,20.2,1482.5
364,Pol Martin Tiffon,22.8,1347.8,,-,1324.1,-,,1283.9,1336,1373.9,,2021 Quito CH QF,22.1,1486.3
365,Nicolas Mejia,22.2,1347.7,,1277.4,1290,-,,1312.5,1318.8,1373.8,,2021 Los Cabos Qual,21.4,1519.2
366,Viktor Durasovic,25.1,1347.2,,1348.2,1104.8,1404.5,,1347.7,1226,1375.8,,2014 Davis Cup G2 R1,16.9,1465.5
367,Sebastian Fanselow,30.3,1346.5,,1301.2,1316.6,-,,1323.8,1331.5,1373.3,,2019 Burnie CH R16,27,1565.6
368,Sasi Kumar Mukund,25.1,1346.3,,1289.8,1293.8,1283,,1318.1,1320.1,1314.7,,2019 Chennai CH QF,22.1,1459.2
369,Alex Rybakov,25.2,1343.4,,1212.5,1262.7,1440.9,,1277.9,1303,1392.2,,2022 Savannah CH R16,25.2,1347.8
370,Aziz Dougaz,25,1342.8,,1320.7,1306.2,1500,,1331.8,1324.5,1421.4,,2020 Calgary CH R32,22.9,1551.7
371,Jc Aragone,26.8,1342,,1326.9,1032.5,1385.2,,1334.4,1187.2,1363.6,,2018 Chicago CH R16,23.2,1567.3
372,Nicolas Barrientos,35,1341.4,,1168.1,1343.3,-,,1254.8,1342.4,1370.7,,2015 Cali CH QF,28,1435.2
373,Alejandro Gonzalez,33.1,1338.1,,1326.6,1304,1300.6,,1332.3,1321.1,1319.4,,2015 Santiago CH QF,26.1,1699.3
374,Alexey Vatutin,29.4,1335.5,,1288.8,1309.8,1328.3,,1312.2,1322.7,1331.9,,2018 Marrakech R16,25.4,1623.4
375,Aldin Setkic,34.2,1334.2,,1306.8,1236.5,1183,,1320.5,1285.4,1258.6,,2010 Napoli2 CH R32,22.8,1598.7
376,Oriol Roca Batalla,28.9,1330.5,,1247.1,1294.6,1352.2,,1288.8,1312.6,1341.4,,2015 Casablanca CH R32,22.5,1474
377,Pedja Krstin,27.6,1329.6,,1215.1,1325.5,1296.6,,1272.3,1327.5,1313.1,,2016 Leon CH R32,21.5,1552.5
378,Filippo Baldi,26,1327.9,,1318.9,1274.9,1244.6,,1323.4,1301.4,1286.3,,2018 Andria CH SF,22.9,1692
379,Kaichi Uchida,27.7,1327.5,,1317.1,1133.4,1447.7,,1322.3,1230.5,1387.6,,2019 Taipei CH R32,24.6,1494.6
380,Carlos Gomez Herrera,31.9,1322.7,,1227.9,1296,1372.5,,1275.3,1309.4,1347.6,,2018 Puerto Vallarta CH QF,28,1538.1
381,Goncalo Oliveira,27.2,1322.5,,1256.3,1275.9,1352.2,,1289.4,1299.2,1337.3,,2017 Campinas CH QF,22.6,1434
382,Luca Van Assche,18,1312.3,,1289,1136.3,-,,1300.6,1224.3,1356.1,,2021 Brest CH R16,17.5,1456.6
383,Georgii Kravchenko,21.6,1310.5,,1270.3,1232.5,-,,1290.4,1271.5,1355.2,,2021 Pau CH R32,21.3,1417.8
384,Juan Bautista Torres,20.1,1310.2,,-,1284.7,-,,1265.1,1297.5,1355.1,,2022 Santiago CH R32,19.9,1406.9
385,Nick Hardt,21.6,1308.6,,1185,1272,-,,1246.8,1290.3,1354.3,,2022 Columbus CH R32,21.3,1361.2
386,Yshai Oliel,22.3,1306.6,,1291.5,1305.3,1500,,1299.1,1305.9,1403.3,,2017 Davis Cup G1 R1,17.1,1478.6
387,Mateus Alves,21.3,1295.5,,1304.1,1206.5,-,,1299.8,1251,1347.8,,2022 Mexico City CH R16,21.2,1356.7
388,Gustavo Heide,20.2,1284.5,,1207.5,1265.9,-,,1246,1275.2,1342.2,,2021 Sao Paulo CH R16,19.8,1391.3
389,Matteo Martineau,23.2,1278,,1210.2,1252.4,-,,1244.1,1265.2,1339,,2021 Cherbourg CH R32,22.1,1378.8
390,Francesco Forti,22.7,1277.5,,1174.2,1280.4,-,,1225.9,1279,1338.8,,2019 San Benedetto CH R32,20,1461.3
391,Rudolf Molleker,21.4,1276.2,,1169.2,1256.3,1313.5,,1222.7,1266.2,1294.9,,2019 Poznan CH SF,18.6,1709.8
392,Cristian Rodriguez,31.8,1275.7,,1327.7,1223,-,,1301.7,1249.4,1337.9,,2018 Panama City CH R16,27.8,1497
393,Orlando Luz,24.2,1273.6,,1062.1,1266.1,-,,1167.9,1269.8,1336.8,,2021 San Marino CH SF,23.5,1461.7
394,Roberto Ortega Olmedo,30.6,1271.7,,1248.8,1215.2,1367.6,,1260.2,1243.5,1319.6,,2014 Blois CH R16,23.2,1491
395,Shintaro Mochizuki,18.9,1255.8,,1181.5,1191.7,1408,,1218.7,1223.7,1331.9,,2021 Wimbledon Qual,18.1,1340.6
396,Lucas Catarina,25.6,1255.5,,1243.3,1180.1,-,,1249.4,1217.8,1327.8,,2021 Cleveland CH R32,24.6,1356
397,Tiago Cacao,24.2,1251.5,,-,1210.6,-,,1235.8,1231.1,1325.8,,2021 Oeiras 2 CH R16,23.1,1458.1
398,Dayne Kelly,31.4,1245.9,,1216.4,1194.8,1349.1,,1231.1,1220.3,1297.5,,2010 Ojai CH R32,19.8,1450.5
399,Yu Hsiou Hsu,22.8,1244.3,,1204.1,1197.1,-,,1224.2,1220.7,1322.2,,2021 Prague 3 CH R32,22.4,1339.6
400,Roberto Cid,28.3,1233.8,,1283.4,1143.1,1407.4,,1258.6,1188.4,1320.6,,2018 Almaty CH R16,24.8,1570.6
401,Gilbert Soares Klier Junior,22,1211.7,,-,1198.2,-,,1215.9,1205,1305.9,,2021 Brasilia CH R32,21.5,1238
402,Nicholas David Ionel,19.5,1208.6,,1098,1218.1,-,,1153.3,1213.3,1304.3,,2021 Bucharest CH R16,18.9,1282.5
403,Elmar Ejupovic,29.2,1204.2,,1159.1,1216.9,-,,1181.6,1210.6,1302.1,,2021 Maia 2 CH R16,28.9,1288.8
404,Pedro Araujo,20.1,1181.3,,1180.9,1162.7,-,,1181.1,1172,1290.7,,2021 Braga CH R32,19.5,1292.1
405,Nick Chappell,29.5,1165.7,,1213.2,1067.7,1355.2,,1189.5,1116.7,1260.5,,2021 Potchefstroom 1 CH QF,28.4,1444.7
406,Facundo Juarez,24.6,1158.2,,1132.7,1164.3,-,,1145.5,1161.2,1279.1,,2021 Florianopolis CH R16,24.2,1329.2
407,Matias Zukas,26,1139.9,,1219.2,1108.9,-,,1179.5,1124.4,1269.9,,2017 Tigre CH R32,20.8,1293.9
408,Alexander Erler,24.1,1086.7,,1084.3,1083.5,-,,1085.5,1085.1,1243.3,,2014 Kitzbuhel Qual,16.8,1202.3
