Rank,Player,Age,Elo,    ,HardRaw,ClayRaw,GrassRaw,    ,"<span title=""hard-court elo rating"">hElo</span title=""hard-court elo rating"">","<span title=""clay-court elo rating"">cElo</span title=""clay-court elo rating"">","<span title=""grass-court elo rating"">gElo</span title=""grass-court elo rating"">",    ,Peak Match,Peak Age,Peak Elo
65,Cristian Garin,25.9,1757.9,,1536.3,1723,1611.4,,1647.1,1740.4,1684.7,,2021 Bastad R16,25.1,1887.1
66,Aljaz Bedene,32.8,1755.4,,1675.5,1674.9,1544.4,,1715.4,1715.1,1649.9,,2017 Wimbledon R64,28,1904
67,Jo-Wilfried Tsonga,37,1754,,1718.2,1631.6,1565.5,,1736.1,1692.8,1659.8,,2009 Indian Wells R64,23.9,2124.7
68,Soon Woo Kwon,24.4,1753.1,,1664.5,1540.6,1543.6,,1708.8,1646.9,1648.4,,2022 Davis Cup QLS R1,24.2,1790
69,Ricardas Berankis,31.7,1752.9,,1657.2,1567.6,1461.9,,1705,1660.2,1607.4,,2010 Vancouver CH SF,20.1,1808.8
70,Lorenzo Sonego,27,1752.3,,1584.4,1741.2,1638.7,,1668.4,1746.8,1695.5,,2021 Rome QF,26,1887.3
71,Filip Krajinovic,30.2,1750.2,,1680.3,1744.9,1346.9,,1715.2,1747.5,1548.6,,2020 Rome R32,28.5,1937.9
72,Brandon Nakashima,20.7,1749.2,,1701.2,1381.5,1536.1,,1725.2,1565.4,1642.7,,2021 NextGen Finals RR,20.3,1898.3
73,Albert Ramos,34.3,1747.5,,1546.7,1716.6,1341.3,,1647.1,1732.1,1544.4,,2017 Barcelona R16,29.3,1872.7
74,Hugo Dellien,28.9,1747.1,,1390.9,1671.4,1352.9,,1569,1709.3,1550,,2022 Madrid Qual,28.9,1752.9
75,Alejandro Tabilo,24.9,1746,,1583.8,1660.1,1350.3,,1664.9,1703.1,1548.2,,2022 Sarasota CH QF,24.9,1791.8
76,Christopher Oconnell,27.9,1745.5,,1639,1602.2,1518.7,,1692.2,1673.8,1632.1,,2022 Indian Wells Qual,27.8,1755.1
77,Ugo Humbert,23.8,1743.8,,1641.8,1437.5,1747.3,,1692.8,1590.7,1745.6,,2021 Tokyo Olympics R16,23.1,1915
78,Kamil Majchrzak,26.2,1743.2,,1630,1654.2,1654.9,,1686.6,1698.7,1699.1,,2022 Pune QF,26.1,1784.5
79,Taro Daniel,29.2,1741.9,,1641.4,1616.9,1331.9,,1691.7,1679.4,1536.9,,2015 Prague CH R16,22.4,1745.8
80,Tomas Machac,21.5,1739.8,,1663.1,1577.7,1418.5,,1701.4,1658.7,1579.1,,2021 Nur-Sultan 2 CH F,20.4,1798.4
81,Kevin Anderson,35.8,1738.9,,1630.3,1671.7,1658,,1684.6,1705.3,1698.4,,2019 Australian Open R128,32.7,2026.6
82,Laslo Djere,26.9,1738.8,,1482.9,1749.1,1313.7,,1610.8,1743.9,1526.2,,2021 Gstaad QF,26.1,1805.2
83,J J Wolf,23.3,1731.9,,1672.3,1458,-,,1702.1,1594.9,1565.9,,2020 Us Open R64,21.7,1812.8
84,Jan Lennard Struff,31.9,1728.8,,1620.8,1718.9,1518.1,,1674.8,1723.9,1623.5,,2019 Wimbledon R64,29.2,1898.1
85,Vasek Pospisil,31.7,1727.7,,1673.8,1279.1,1468.1,,1700.8,1503.4,1597.9,,2020 Sofia SF,30.4,1885.4
86,Guido Pella,31.4,1726.4,,1675.7,1686.4,1490.5,,1701.1,1706.4,1608.4,,2019 Cincinnati R64,29.2,1869
87,James Duckworth,30,1725.2,,1647.2,1433.5,1546.2,,1686.2,1579.3,1635.7,,2021 Paris R16,29.8,1772
88,Adrian Mannarino,33.8,1724.2,,1704.7,1407.8,1665.3,,1714.4,1566,1694.7,,2018 Australian Open R64,29.5,1884.4
89,Marcos Giron,28.8,1722.5,,1689.9,1409.7,1594.4,,1706.2,1566.1,1658.4,,2021 Paris R32,28.3,1842.6
90,Dominik Koepfer,27.9,1721.3,,1584.4,1666.6,1555,,1652.9,1693.9,1638.2,,2020 Hamburg R32,26.4,1788.4
91,Jiri Vesely,28.8,1721.3,,1720,1550.5,1626.8,,1720.6,1635.9,1674.1,,2014 Wimbledon R64,21,1892.3
92,Francisco Cerundolo,23.7,1720.4,,1532.5,1676.4,1434.7,,1626.5,1698.4,1577.6,,2021 Buenos Aires SF,22.5,1840.1
93,Dusan Lajovic,31.8,1720.4,,1590.1,1672.6,1354.3,,1655.3,1696.5,1537.4,,2018 Beijing R16,28.3,1845.1
94,Corentin Moutet,23,1720,,1676.8,1534.1,1483.2,,1698.4,1627,1601.6,,2022 Adelaide 2 QF,22.7,1815.7
95,Philipp Kohlschreiber,38.5,1715.5,,1682.7,1638.2,1544,,1699.1,1676.9,1629.8,,2009 Stuttgart R32,25.7,1985.4
